0,flags scythes leave comment like follow prints coming soon want thank motivating allowing study beautiful work countless artists give hope loved ones friends believe god good
0,want go hike listening jre graham hancock priority must view opinion
0,wedding cake got feeling type way still stoked collection
0,glowstick fully fitted sitter 1st fully fitted sitter
0,glowsticklucy fully fitted sitter 1st fully fitted sitter
0,labradorite ring earlier year one nfs hesitate ask getting started thanks
0,art shenanigans
0,slingin paint thank showing east coast gets
0,fam
0,one dankest coconuts ive ever paper collage 2019
0,holy drop going wait show guys fumey goodness coming way turn post notifications want
0,loved way piece came together different components told cool story might bias like anything space related thought presented honored defense cup
0,attention friendsfamily days engagement earlier month soon motherinlaw fell near fatally ill due diabetes airlifted uva hospital charlottesville alive recovering unfortunately take foot save one imagine long recovery ahead also means large hospital bills well effort help relieve family financial burden profits glass sales big cartel account foreseeable future donated recovery fund things finally calmed enough get back studio get work things posting red white blue bubbler sale later evening link shop bio link gofundme account posted soon thank much advance tyco
0,new spoon love new piece arrived mail check buddy fire pieces art awesome thanks bro loving thing heavy af 4ounces glass super sexy dicra
0,jellyfish dabber pendant
0,base design like left right leave comments personally prefer left full sandblasted base makes easier get banger full clean think sand blast allows see everything speck get easy dc clear
0,lot fun making last night revisited techniques styles havent done almost year
0,slides way oakville super cool shop
0,fully functional bart simpson dab rig slingshot really shoot rocks like better bart lisa rig made tag friend loves simpsons
0,moldavite emerald tsavorite garnet chrysoprase set 925 sterling silver 14 kt gold wire let know one speaks
0,collaboration available via
0,nocturnal series available
0,shredding water killer tube hope sun shining today
0,
0,friday yet
0,x cube
0,labradorite copper wire slightly oxidized
0,lapis lazuli copper wire
0,excited blessed able add x pendy growing collection facets opal really catch eye love everything claw homie letting scoop good rest day
0,blue howlite copper
0,love ring bub daily flower ripper
0,infinite spinner drop new slides handful drinking straws
0,heady little custom zendo dagger thanks reaching
0,geometric kuzel view kuzel owned
0,get enough water spinner
0,chugs pretty damn good love seed life perc
0,patch skulls pendants available signed dated checkout website dm question
0,incredibly talented glass engraver hungary teamed entry american beauty pretty little gromy tube made gold ruby features rendition bertha winding roses neck love traveler piece weight function needless say aesthetic
0,new space tech aliens stoked one turned started piece 9 months ago turned second labor intensive piece far 14k solid gold silver purple green tourmaline 13x uv reactive rubies 6x emeralds 2x blue sapphires 2x purple sapphires sunstone cats eye moonstone 2x indicolite tourmaline 2x blue zircon pictures maybe another piece 2 coming soon
0,silver pink enamel coated copper wmalachite chip tree life pendant
0,fireball marble
0,marble mutations marble tim garcia
0,cop
0,awhile since posted filter needed back porch dab tonight sun makes piece look even stunning usual rig dab tool banger purchased dab mat bubble cap custom song want concentrates black domina
0,honey badger sidecar grabs dm info
0,im live twitch watch twitchtvk2glassart
0,started blowing glass first pendant many
0,last night went camping last minute secret beach amazing woke saw 8 seals 2 dolphins 1 baby bunny also canned food great first time building firethank assistance
