0,dope x knockout skull slide arrived last long,0,0
1,carbcap auction 254 inch featuring 2 reversals tight line work bidding starts 0 ends call reserve minimum bids 5 please comes signed dated shipping us 5 outside us 10 must pay within 24 hours winning auction thank everyone,1,0
2,auction auction auction dont like complicated always simplestarts 0 increments whatever winner includes 5 shipping spiral linework cap profound opal venmo cash app preferred paypal friends family also accepted ends 10pm good luck,1,1
3,sold 8 tall made solid one 2 hole grommet downstem hit dm scoop,0,1
4,going diamond terps amazing prob clean tool sticky give good tap,0,0
5,24 hour auction hang loose hand pendant leave bids comments artist 2 x 15 inches l x w auction rules starting bid 60 bid increments 10 minimum tag person outbid highest bidder wins free international shipping credit debit card ends tuesday 830 et shipping week optional add handmade parachute necklace 10 247 support available payment due immediately conclusion auction failure pay block,1,1
6,black crushed opal puffco peak directional airflow bubble cap grabs first dibs takes 45 shipped credit,0,0
7,going get back bubble grind today whipped lastnight trans white extended nozzle deep dish buckets one 24 mm extended length 17 mm love bubblecaps,0,0
8,custom hand burned shogun display box nfs,0,0
9,fairy dabberbubble cap happy winged gal turned thanks looking great day,0,0
10,auction exp green moonstone handle honeystick bubblecap featuring beautiful rainbow coin opal top fits 25mm flat top gavel v2 25mm flat top bangers 25mm grail 25mm flat top bangers starting 0 increments 10 please tag person outbid please paypal ready bid cannot pay ends call going going twice fashion good luck thanks peeping,1,0
11,ponzi scheme wish could smell,0,0
12,close encounter jerry bear kind 45 message interested,0,0
13,sale pendant 2800 shipped comes stand,0,0
14,got bunch bubblecaps stock lets make deal empty case stores offer 10 retail pricing bubblecap case green yellow caps 35 retail full body half half crushed opal ones 60 retail dm lets make deal free 23 day shipping,0,0
15,go follow giving away glass,0,0
16,24 hour auction infinity nectar collector water filtration comes anodized titanium tip leave bids comments artist auction rules starting bid 160 bid increments 10 minimum tag person outbid highest bidder wins free international shipping credit debit card ends monday 830 pm et shipping week optional add handmade parachute necklace 10 247 support available payment due immediately conclusion auction failure pay block,1,0
17,bubble cap drop available terps green lunar rays spacetech meta terania shoot us dm secure,0,0
